issue_type	local_excel_file	platform_source_table	platform_source_file	details
INVALID_TEMP_LOCK_FILE	C:\Users\EDY\Desktop\WA账单20260914\2025年11月\WingAlpha-2025年11月付；USD1,139,393.53\~$给Wing的付款说明2022-7-9.xlsx			Hidden Excel lock file; not a valid workbook and excluded from source mapping.
INVALID_TEMP_LOCK_FILE	C:\Users\EDY\Desktop\WA账单20260914\2025年11月\WingAlpha-2025年11月付；USD772,765.00\~$给Wing的付款说明2022-7-9.xlsx			Hidden Excel lock file; not a valid workbook and excluded from source mapping.
INVALID_TEMP_LOCK_FILE	C:\Users\EDY\Desktop\WA账单20260914\2025年12月\WingAlpha-2025年12月付；USD773,380.39\~$给Wing的付款说明2022-7-9.xlsx			Hidden Excel lock file; not a valid workbook and excluded from source mapping.
INVALID_TEMP_LOCK_FILE	C:\Users\EDY\Desktop\WA账单20260914\2026年1月\WingAlpha-2026年1月付；USD704,839.35\~$给Wing的付款说明2022-7-9.xlsx			Hidden Excel lock file; not a valid workbook and excluded from source mapping.
INVALID_TEMP_LOCK_FILE	C:\Users\EDY\Desktop\WA账单20260914\2026年2月\WingAlpha-2026年2月付；USD703,612.29\~$给Wing的付款说明2022-7-9.xlsx			Hidden Excel lock file; not a valid workbook and excluded from source mapping.
INVALID_TEMP_LOCK_FILE	C:\Users\EDY\Desktop\WA账单20260914\2026年3月\WingAlpha-2026年3月付；USD693,915.21\~$给Wing的付款说明2022-7-9.xlsx			Hidden Excel lock file; not a valid workbook and excluded from source mapping.
INVALID_TEMP_LOCK_FILE	C:\Users\EDY\Desktop\WA账单20260914\2026年4月\WingAlpha-2026年4月付；USD579,471.47\~$给Wing的付款说明2022-7-9.xlsx			Hidden Excel lock file; not a valid workbook and excluded from source mapping.
INVALID_TEMP_LOCK_FILE	C:\Users\EDY\Desktop\WA账单20260914\2026年5月\WingAlpha-2026年5月付；USD374,480.38\~$给Wing的付款说明2022-7-9.xlsx			Hidden Excel lock file; not a valid workbook and excluded from source mapping.
INVALID_TEMP_LOCK_FILE	C:\Users\EDY\Desktop\WA账单20260914\2026年6月\WingAlpha-2026年6月付；USD389,842.49\~$给Wing的付款说明2022-7-9.xlsx			Hidden Excel lock file; not a valid workbook and excluded from source mapping.
INVALID_TEMP_LOCK_FILE	C:\Users\EDY\Desktop\WA账单20260914\2026年7月\WingAlpha-2026年7月付；USD382,329.72\~$给Wing的付款说明2022-7-9.xlsx			Hidden Excel lock file; not a valid workbook and excluded from source mapping.
INVALID_TEMP_LOCK_FILE	C:\Users\EDY\Desktop\WA账单20260914\2026年8月\WingAlpha-2026年8月付；USD373,928.34\~$给Wing的付款说明2022-7-9.xlsx			Hidden Excel lock file; not a valid workbook and excluded from source mapping.
INVALID_TEMP_LOCK_FILE	C:\Users\EDY\Desktop\WA账单20260914\2026年9月\WingAlpha-2026年9月付；USD\~$给Wing的付款说明2022-7-9.xlsx			Hidden Excel lock file; not a valid workbook and excluded from source mapping.
LOCAL_SCHEMA_CONFLICT	C:\Users\EDY\Desktop\WA账单20260914\2025年11月\WingAlpha-2025年11月付；USD1,139,393.53\006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	simo_prod.mysql_cdc_sync.wa_invoice_detail	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	CONFLICT_MISSING_LOCAL_CHARGE_TYPE
AMOUNT_CONFLICT	C:\Users\EDY\Desktop\WA账单20260914\2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	simo_prod.mysql_cdc_sync.wa_invoice_credit	01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	CONFLICT_PLATFORM_CORRECT_PRICE_MISSING
AUXILIARY_SHEET_NO_HEADER	C:\Users\EDY\Desktop\WA账单20260914\2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	simo_prod.mysql_cdc_sync.wa_invoice_credit		Sheet2 has no header/key/amount fields; retained as auxiliary, not mapped as credit facts.
