record_kind	billing_month	source_file	row_count	distinct_imsi	amount	duplicate_key_extra_rows	formula_mismatch_rows	date_span_mismatch_rows	evidence_note
CREDIT_AUDIT		01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	393	393	585.45				no final_start_date/final_end_date billing-month key; audit-only and not monthly target
DETAIL_FILE	2025-12	SIMO Data Purchase Invoice Details - DEC 2025.xlsx	12185	12110	704839.353763	0			monthly target is detail rows filtered by final_start_date; no union with prorated or credit
DETAIL_FILE	2026-01	01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	12764	12545	699499.096774	0			monthly target is detail rows filtered by final_start_date; no union with prorated or credit
DETAIL_FILE	2026-02	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	12571	12308	690572.723502	0			monthly target is detail rows filtered by final_start_date; no union with prorated or credit
DETAIL_FILE	2026-02	01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	189	189	4107.193548	0			monthly target is detail rows filtered by final_start_date; no union with prorated or credit
DETAIL_FILE	2026-02	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	277	277	12200.5	0			monthly target is detail rows filtered by final_start_date; no union with prorated or credit
DETAIL_MONTH	2025-12		12185	12110	704839.353763	0	0	2	Excel truth is recomputable from detail only; duplicate_key_extra_rows is diagnostic, not deduped out
DETAIL_MONTH	2026-01		12764	12545	699499.096774	0	60	481	Excel truth is recomputable from detail only; duplicate_key_extra_rows is diagnostic, not deduped out
DETAIL_MONTH	2026-02		13037	12577	706880.417051	0	0	486	Excel truth is recomputable from detail only; duplicate_key_extra_rows is diagnostic, not deduped out
PRORATED_AUDIT	2025-12		1	1	34.0				duplicate auxiliary source; exact_detail_key_matches=1; pending_amount=6.0
PRORATED_AUDIT	2026-01		359	359	14688.096774				duplicate auxiliary source; exact_detail_key_matches=359; pending_amount=3342.483871
PRORATED_AUDIT	2026-02		127	127	3686.928571				duplicate auxiliary source; exact_detail_key_matches=127; pending_amount=1065.168571
